"Carrier","Departure Delay","Arrival Delay"
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-1.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-10.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-11.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
"AA",-1.00,-12.00
