Year Type,Year,Organization Group Code,Organization Group,Department Code,Department,Union Code,Union,Job Family Code,Job Family,Job Code,Job,Employee Identifier,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
Calendar,2015,2,"Public Works, Transportation & Commerce",WTR,PUC Water Department,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",2400,"Lab, Pharmacy & Med Techs",2481,Water Qualitytech I/II,21538,82146.04,0.0,0.0,82146.04,16942.21,12340.88,6337.73,35620.82,117766.86
Calendar,2015,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,12.0,"Carpet, Linoleum and Soft Tile Workers, Local 12",7300,Journeyman Trade,7393,Soft Floor Coverer,5459,32165.75,973.19,848.96,33987.9,0.0,4587.51,2634.42,7221.93,41209.83
Calendar,2015,4,Community Health,DPH,Public Health,790.0,"SEIU - Miscellaneous, Local 1021",1600,"Payroll, Billing & Accounting",1636,Health Care Billing Clerk 2,41541,71311.0,5757.98,0.0,77068.98,14697.59,12424.5,6370.06,33492.15,110561.13
Calendar,2015,4,Community Health,DPH,Public Health,351.0,Municipal Executive Association - Miscellaneous,0900,Management,2620,Food Service Mgr Administrator,26718,28430.25,0.0,763.07,29193.32,0.0,4223.14,5208.51,9431.65,38624.97
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790.0,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8201,School Crossing Guard,45810,7948.75,0.0,0.0,7948.75,0.0,2873.17,616.24,3489.41,11438.16
Calendar,2015,1,Public Protection,POL,Police,911.0,Police Officers' Association,Q000,Police Services,Q002,Police Officer,32906,2235.0,0.0,0.0,2235.0,490.36,286.72,176.57,953.65,3188.65
Calendar,2015,4,Community Health,DPH,Public Health,791.0,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2328,Nurse Practitioner,7506,187247.0,0.0,11704.06,198951.06,37683.66,12424.5,11221.73,61329.89,260280.95
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253.0,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,36773,66988.54,3512.88,2770.39,73271.81,19127.22,13202.95,5455.1,37785.27,111057.08
Calendar,2015,6,General Administration & Finance,CAT,City Attorney,311.0,Municipal Attorneys' Association,8100,Legal & Court,8177,Attorney (Civil/Criminal),12963,135189.6,0.0,1562.5,136752.1,27501.81,12424.5,10102.97,50029.28,186781.38
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,535.0,"SEIU - Human Services, Local 1021",9700,Community Development,9703,Emp & Training Spec 2,35179,70474.77,147.28,1647.24,72269.29,14650.28,10696.9,5993.11,31340.29,103609.58
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253.0,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,53091,68628.37,8704.5,1000.53,78333.4,19057.68,13524.07,5855.26,38437.01,116770.41
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,1.0,Miscellaneous Unrepresented Employees,9900,Public Service Aide,9916,Public Svc Aide-Public Works,40460,1379.83,0.0,25.39,1405.22,0.0,579.41,109.07,688.48,2093.7
Calendar,2015,1,Public Protection,POL,Police,911.0,Police Officers' Association,Q000,Police Services,Q002,Police Officer,25949,48866.81,12886.82,3605.38,65359.01,11052.77,6212.25,1084.14,18349.16,83708.17
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,200.0,"Transportation Workers, Local 200",9100,Street Transit,9139,Transit Supervisor,38657,27232.0,60.22,1985.0,29277.22,5346.41,4396.37,2390.32,12133.1,41410.32
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,6.0,"Electrical Workers, Local 6",7300,Journeyman Trade,7371,Electrical Transit System Mech,48759,84644.03,30.32,4916.04,89590.39,17556.46,12424.5,7321.24,37302.2,126892.59
Calendar,2015,2,"Public Works, Transportation & Commerce",HHP,PUC Hetch Hetchy,3.0,"Operating Engineers - Miscellaneous, Local 3",7300,Journeyman Trade,7328,"Operating Engineer, Universal",674,94388.0,6680.29,2259.93,103328.22,19922.07,12424.49,8450.2,40796.76,144124.98
Calendar,2015,4,Community Health,DPH,Public Health,791.0,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2323,Clinical Nurse Specialist,4502,176158.0,0.0,250.0,176408.0,35449.75,12424.5,10629.43,58503.68,234911.68
Calendar,2015,6,General Administration & Finance,CPC,City Planning,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5291,Planner 3,11394,95504.51,0.0,1420.0,96924.51,19965.29,11182.06,7466.25,38613.6,135538.11
Calendar,2015,4,Community Health,DPH,Public Health,790.0,"SEIU - Miscellaneous, Local 1021",2500,Med Therapy & Auxiliary,2586,Health Worker 2,44879,39852.94,0.0,1120.0,40972.94,8332.7,8081.24,3398.16,19812.1,60785.04
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,261.0,"Laborers, Local 261",7500,Semi-Skilled & General Labor,7514,General Laborer,1557,53331.51,10438.71,6527.75,70297.97,13074.64,12424.55,5629.65,31128.84,101426.81
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,6.0,"Electrical Workers, Local 6",7300,Journeyman Trade,7371,Electrical Transit System Mech,20794,84644.02,34057.28,6303.03,125004.33,17731.34,12424.5,9797.71,39953.55,164957.88
Calendar,2015,4,Community Health,DPH,Public Health,535.0,"SEIU - Human Services, Local 1021",2900,Human Services,2903,Eligibility Worker,3546,14738.01,0.0,745.08,15483.09,0.0,3305.04,1200.92,4505.96,19989.05
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790.0,"SEIU - Miscellaneous, Local 1021",2700,Housekeeping & Laundry,2716,Custodial Assistant Supervisor,5491,62187.0,12823.62,8298.3,83308.92,13636.57,12424.5,6828.43,32889.5,116198.42
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,790.0,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9910,Public Service Trainee,24292,2725.63,0.0,1.96,2727.59,0.0,1329.06,211.55,1540.61,4268.2
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,790.0,"SEIU - Miscellaneous, Local 1021",3200,Recreation,3264,Camp Assistant,51253,4643.71,0.0,3.58,4647.29,0.0,2171.3,360.57,2531.87,7179.16
Calendar,2015,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",1000,Information Systems,1053,IS Business Analyst-Senior,15387,103019.0,0.0,0.0,103019.0,21209.49,12424.52,8205.42,41839.43,144858.43
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,790.0,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9910,Public Service Trainee,46922,1294.85,0.0,855.98,2150.83,305.72,561.49,180.91,1048.12,3198.95
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253.0,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,5362,66642.96,16791.64,1705.69,85140.29,18726.69,13137.48,6646.83,38511.0,123651.29
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,261.0,"Laborers, Local 261",7500,Semi-Skilled & General Labor,7514,General Laborer,8193,14297.26,881.02,913.3,16091.58,3344.81,3324.15,1278.55,7947.51,24039.09
Calendar,2015,4,Community Health,DPH,Public Health,250.0,"SEIU - Health Workers, Local 1021",2300,Nursing,2302,Nursing Assistant,5871,70245.0,27047.36,3446.14,100738.5,14606.45,12424.5,8066.59,35097.54,135836.04
Calendar,2015,4,Community Health,DPH,Public Health,21.0,"Prof & Tech Engineers - Miscellaneous, Local 21",2200,Medical & Dental,2218,Physician Assistant,40927,147475.56,0.0,2237.42,149712.98,30064.17,10507.07,10256.56,50827.8,200540.78
