Organization Group,Department,Job Family,Job,Salary,Overtime,Benefits,Total Compensation
Public Protection,Adult Probation,Information Systems,IS Trainer-Journey,91332.0,0.0,40059.0,131391.0
Public Protection,Adult Probation,Information Systems,IS Engineer-Assistant,123241.0,0.0,49279.0,172520.0
Public Protection,Adult Probation,Information Systems,IS Business Analyst-Senior,115715.0,0.0,46752.0,162468.0
Public Protection,Adult Probation,Information Systems,IS Business Analyst-Principal,159394.0,0.0,57312.0,216706.0
Public Protection,Adult Probation,Information Systems,IS Programmer Analyst,70035.0,0.0,28671.0,98706.0
Public Protection,Adult Probation,Information Systems,IS Project Director,175742.0,0.0,60830.0,236572.0
Public Protection,Adult Probation,Information Systems,IT Operations Support Admin IV,123840.0,0.0,49429.0,173269.0
Public Protection,Adult Probation,"Payroll, Billing & Accounting",Accountant III,111816.0,0.0,46319.0,158135.0
Public Protection,Adult Probation,"Budget, Admn & Stats Analysis",Statistician,87725.0,0.0,38899.0,126624.0
Public Protection,Adult Probation,"Budget, Admn & Stats Analysis",Senior Administrative Analyst,116192.0,0.0,47651.0,163843.0
Public Protection,Adult Probation,"Budget, Admn & Stats Analysis",Senior Administrative Analyst,97098.0,0.0,42060.0,139158.0
Public Protection,Adult Probation,"Budget, Admn & Stats Analysis",Pr Administrative Analyst,142059.0,0.0,53228.0,195287.0
Public Protection,Adult Probation,"Budget, Admn & Stats Analysis",Pr Administrative Analyst,134514.0,0.0,51872.0,186386.0
Public Protection,Adult Probation,"Budget, Admn & Stats Analysis",Pr Administrative Analyst,134514.0,0.0,51666.0,186180.0
Public Protection,Adult Probation,Personnel,Senior Human Resources Analyst,121438.0,0.0,49017.0,170455.0
Public Protection,Adult Probation,Personnel,Senior Human Resources Analyst,121438.0,0.0,48880.0,170318.0
Public Protection,Adult Probation,"Clerical, Secretarial & Steno",Executive Secretary 3,100882.0,0.0,43200.0,144082.0
Public Protection,Adult Probation,Management,Manager II,144745.0,0.0,56862.0,201607.0
Public Protection,Adult Probation,Management,Manager III,172922.0,0.0,64117.0,237039.0
Public Protection,Adult Probation,Management,Manager V,106125.0,0.0,38050.0,144175.0
Public Protection,Adult Probation,Management,"Div Director, Adult Probation",32117.0,0.0,2658.0,34775.0
Public Protection,Adult Probation,Management,"Div Director, Adult Probation",135018.0,0.0,63608.0,198626.0
Public Protection,Adult Probation,Management,"Div Director, Adult Probation",135018.0,0.0,64733.0,199751.0
Public Protection,Adult Probation,Management,"Div Director, Adult Probation",145994.0,0.0,68368.0,214361.0
Public Protection,Adult Probation,Management,"Div Director, Adult Probation",145994.0,0.0,68488.0,214482.0
Public Protection,Adult Probation,Management,"Div Dir, Adult Prob (SFERS)",135525.0,0.0,46725.0,182250.0
Public Protection,Adult Probation,Management,Chief Adult Prob Offcr (SFERS),235597.0,0.0,67822.0,303419.0
Public Protection,Adult Probation,Probation & Parole,Chief Dep Adlt Prob Of (SFERS),189716.0,0.0,65922.0,255638.0
